,text,search_term,label0
184,"Tesla shares surge as Musk dances his way into China; market cap approaches combined value of GM, Ford ",Ford,1
185,"Iran retaliation, Ford sales and service sector data: 3 things to know for Monday",Ford,1
188,"McQueen drove the Ford Mustang in the classic film, in which he played no-nonsense police Lieutenant Frank Bullitt ",Ford,1
189,Steve McQueen's Ford Mustang from Bullitt sells for $3.4m at auction,Ford,1
191,Hundreds of Central American migrants ford river to enter Mexico ,Ford,0
196,"Donald Trump is the most unpopular president since Gerald Ford to run for reelection—but his fate is hardly sealed. More, via @FiveThirtyEight: ",Ford,0
198,Review: A gorgeous “Ford v Ferrari” demands a drive to the theater ,Ford,1
199,"The Shelby Mustangs that came out of the Hertz collaboration with Ford were rare enough. The ones with manual transmissions, even rarer. ",Ford,1
201,With a fleet of electrified SUVs hitting the market in 2020—including Ford's battery-electric Mustang Mach-E and Toyota's plug-in RAV4—the auto industry is seeking better returns on its investment in plug-in technology,Ford,1
203,"No one believes them, but this family that collects Ford Mustangs is actually named Speed ",Ford,1
204,Ford to resume production at China joint venture with Changan on February 10,Ford,1
206,Ford expects $2.2 billion pre-tax hit related to pension plans in fourth quarter,Ford,1
216,Ford Mustang driven by Steve McQueen in 'Bullitt' sells for $3.4 million,Ford,1
218,"Tesla stock worth more than GM, Ford combined ",Ford,1
223,Tesla's market value eclipses GM and Ford - combined! ,Ford,1
224,Ford quarterly sales slip on slowdown in passenger cars demand ,Ford,1
226,Ford U.S. sales fall 1.3% in fourth quarter,Ford,1
227,"Rivian, a Michigan-based startup backed heavily by Ford and Amazon, will develop a new electric vehicle for Ford's Lincoln luxury brand ",Ford,1
229,"Facebook, Ford and other high-profile companies have told their employees not to travel to China as the deadly coronavirus continues to spread ",Ford,1
230,"Last weekend, three 2017 model year Ford GT supercars were sold at auctions in Arizona for an average of $1.2 million apiece, more than double the base sticker price of $450,000.",Ford,1
232,"Steve McQueen's iconic car from the 1968 film ""Bullitt"" just became the most valuable Ford Mustang ever sold at auction. The Ford Mustang GT, made famous by the movie's 11-minute car chase, went for $3.7 million, including auction fees.",Ford,1
237,"Ford’s transformation of Michigan Central station is part of the bigger resurgence of Detroit, as it tries to reinvent itself to draw new jobs and new residents ",Ford,1
238,"In Opinion Our columnist @NickKristof is talking with Darren Walker, president of the Ford Foundation ",Ford,0
239,"New for subscribers: Watch Nelson Peltz discuss GE, Trump's trade policies and socially responsible investing ",GE,1
240,"Bank of America upgrades GE, says earnings give it 'more confidence' in the turnaround story ",GE,1
241,GE shares rise after earnings top expectations ,GE,1
243,FDA issues cybersecurity warning on GE medical equipment that monitors patients ,GE,0
246,JP Morgan's Stephen Tusa on GE's recent rally: 'The price is wrong' ,GE,1
247,"GE shares jump 10% on profit beat, higher 2020 cash target",GE,1
248,GE to halve 737 MAX engine deliveries but raises cash target,GE,1
249,"GE beats profit, cash flow estimates on strong aviation business ",GE,1
253,‘We won’t be uprooted’: Mayor says #Trump’s plan to make Abu Dis new #Palestinian capital ‘not fair or honest’ ,DIS,0
254,"""We completely reject the idea that Abu Dis should become the capital of Palestine."" - Ahmad Abu Hilal, mayor of Abu Dis ",DIS,0
255,"Trump's Middle East plan has proposed making the town of Abu Dis, a small village outside of Jerusalem, the capital of a future Palestinian state. Our reporter @arwaib is in Abu Dis speaking to Palestinians on what they think of Trump's proposal ",DIS,0
256,'We will never be Jerusalem': Abu Dis pours scorn on Trump plan ,DIS,0
259,"Abu Dis, an unlikely capital for a future Palestinian state ",DIS,0
262,Netanyahu says proposed Palestinian capital will be in Abu Dis ,DIS,0
263,Sky's deal could prevent rivals Virgin and BT from offering Disney+ packages ,Disney,1
265,Disney is making a live-action version of Bambi ,Disney,1
266,Disney plans to start shooting Bambi as next live-action remake ,Disney,1
271,"30 best Disney films, ranked",Disney,0
273,Disney+ UK launch date and price announced ,Disney,1
274,Disney drops the word 'Fox' from 20th Century Fox name,Disney,1
276,New Star Wars film already in the works – and Disney knows who it wants as director ,Disney,1
286,Star Wars: Rise of Skywalker actor calls for Disney to release director JJ Abrams' cut ,Disney,1
289,Star Wars actor wants Rise of Skywalker director's cut amid claims of 'meddling' from Disney ,Disney,1
290,JJ Abrams reportedly left 'devastated' by Disney's final cut of Star Wars ,Disney,1
291,"After just four years and five movies, Disney has driven ‘Star Wars’ franchise into the ground Op-ed by Zachary Leeman ",Disney,1
292,"Disney unapologetically banked on lame nostalgia, while introducing cardboard cutout new characters meant to do little more than appeal to woke social media mobs Op-ed by Zachary Leeman ",Disney,1
294,Airbnb hires Disney veteran to lead Experiences division ahead of expected public listing this year ,Disney,1
295,'Game of Thrones' star sings Disney's 'Let It Go' in Super Bowl ad for Audi ,Disney,1
296,Disney has closed its Shanghai and Hong Kong parks amid the spread of the coronavirus. Here’s how the outbreak could impact the entertainment industry. ,Disney,1
298,"Disney, McDonald’s, Starbucks and other U.S. companies with significant footprints in China are suspending operations and instituting travel restrictions as they respond to the ongoing outbreak of the coronavirus. ",Disney,1
302,"What to watch today: Coronavirus closes Shanghai Disney, tech layoffs and Stumpf banking ban ",Disney,1
303,Disney+ will launch in Europe a week earlier than planned ,Disney,1
304,Disney's virtual reality jacket can make you feel buff without hitting the gym. ,Disney,1
305,"Disney ditches Fox name from branding, emails and logos ",Disney,1
309,"Disney's streaming business is already worth more than $100 billion alone, investors believe",Disney,1
310,"'Missing Link' upsets Disney, takes home best animated feature at 2020 Golden Globes",Disney,1
311,Here’s where to save (and splurge) when visiting Disney World. ,Disney,1
313,"Everything we know about Disney+'s upcoming ""Willow"" sequel ",Disney,1
314,"Everything we know about Disney's new ""Mighty Ducks"" TV series ",Disney,1
316,"Etsy stores are now selling ""Baby Alien Plush Dolls"" after Disney issues take down notices ",Disney,1
317,The creators and the voice actors of the Owl House spoke to Newsweek about Disney's eerie new show ,Disney,1
318,"When is ""WandaVision"" coming to Disney+? ",Disney,1
321,Disney+: All the details of UK launch revealed ,Disney,1
324,Disney+ streaming service to launch earlier in UK on 24 March,Disney,1
326,"Netflix faces crunch year as Disney, Apple and more vie for streaming crown ",Disney,1
328,"If you're waiting for Disney to #ReleaseTheJJCut, don't hold your breath.",Disney,1
329,"US man confesses to killing wife, 3 children, pet dog in Disney-built community",Disney,1
330,"Disney celebrates #ChineseNewYear as ""Year of the Mouse."" -- ""It makes Chinese culture more accessible to Americans"" ",Disney,1
331,"In traditional Chinese-style costumes, Mickey and Minnie Mouse kicked off #ChineseNewYear season at Disney's California Adventure Park ",Disney,1
332,"1.325 bln dollars at global box office! #Frozen2 is now the highest grossing animated film of all time, followed by ""Frozen"" &amp; ""Incredibles 2"" Top 3 are all under @Disney banner",Disney,1
333,Perspective: Five things we’d like to see in a revamped Obi-Wan Kenobi series on Disney Plus ,Disney,1
334,"Disney to remove ""Fox"" from 20th Century film studio name",Disney,1
335,"Service dogs are hard workers, but that doesn't stop them from being adorable, too—especially when they're helping their owners at Walt Disney World. ",Disney,0
336,These sisters had a supercalifragilisticexpialidocious time after they dancing and skipping with Mary Poppins and Bert at Disney World! ,Disney,0
340,Walt Disney said it is temporarily closing its Disneyland and Disneytown parks in Shanghai as the death toll from China’s spreading coronavirus rose ,Disney,1
341,"Heard on the Street: Netflix and Disney face an early test in coming reports, but the true impact of competition will remain unclear for some time ",Disney,1
342,"The Twentieth Century Fox movie studio, which Disney acquired last year, will become Twentieth Century Studios ",Disney,1
343,Verizon subscriber addition beats estimates on Disney+ boost ,Disney,0
344,Shanghai Disney shuts to prevent spread of virus ,Disney,1
350,Netflix membership growth lagged in the U.S. and Canada amid pricing changes and competition from streamers including Disney+ and AppleTV+ ,Disney,1
353,British royal Meghan signed deal with Disney: Times report ,Disney,1
354,"Apple, Alibaba, Disney and Visa would be nowhere without the Taiwan Semiconductor Manufacturing Company ",Disney,1
355,Disney was responsible for eight of the ten highest grossing films of 2019. Seven of them took in over $1bn worldwide,Disney,1
356,Disney's success owes less to its cinematic brilliance than to shrewd acquisitions ,Disney,1
359,Among the sites closed in China due to the Wuhan coronavirus: • The Forbidden City • A section of the Great Wall of China • Shanghai Disney Resort • McDonald's restaurants in five cities • The Bird's Nest stadium • National Museum of China ,Disney,1
360,Disney is closing down its mega theme park in China over the Lunar New Year holiday as fears grow over the deadly Wuhan virus. ,Disney,1
361,Shanghai Disneyland is shutting down due to the Wuhan coronavirus outbreak. Disney has not said when the park will reopen. ,Disney,1
362,Disney heir Abigail Disney testified Wednesday before the California State Senate in support of a bill that would raise the state's corporate income tax rates while incentivizing firms to curb CEO pay. ,Disney,1
364,"Disney is dropping the ""Fox"" name from its ""20th Century Fox"" brand, renaming the longtime studio as just ""20th Century Studios."" Its art house production company, Fox Searchlight, will now be known as ""Searchlight Pictures.""",Disney,1
365,Today's top business headlines: - Trump signs phase one trade deal with China - Women at Citibank earn 27% less than men - 'Rise of Skywalker' joins Disney's 2019 billion dollar club,Disney,1
368,"This Alpine village, rumored to have inspired the setting of Disney's ""Frozen"" movies, has just 780 residents. But its tourist numbers reportedly reach some 10,000 visitors a day.",Disney,0
371,"“My kids are going to be so jealous."" 14 self-described Disney superfans — out of 10,000 who applied — are going to spend the next year working for Disney (for free). Here's why.",Disney,1
373,Pilots union files suit to halt American Airlines flights to China ,American Airlines,1
374,American Airlines' pilots union says Boeing CEO's comments on the 737 Max were too optimistic,American Airlines,1
375,"American Airlines is cancelling some of its U.S.-China flights as the coronavirus spreads, starting Feb. 9.",American Airlines,1
377,American Airlines cancels some China service for more than a month as coronavirus spreads ,American Airlines,1
378,"Stocks making the biggest moves midday: Estee Lauder, Wynn Resorts, Clorox, American Airlines &amp; more ",American Airlines,1
380,"LISTEN NOW: The CEOs of both Southwest and American Airlines discuss the impact of the ongoing 737 Max grounding. Learn more on the @SquawkStreet PODCAST with @carlquintanilla, @JimCramer and @DavidFaber. Listen and subscribe here:",American Airlines,1
381,"“We’re obviously disappointed to see the return to service date likely moving back,” American Airlines CEO Doug Parker says about the 737 Max. Despite the ongoing grounding, American posted higher profits in Q4.",American Airlines,1
382,American Airlines posts slight earnings beat despite Max problems ,American Airlines,1
387,"Stocks making the biggest moves after hours: American Airlines, Microchip, Pier 1 &amp; more",American Airlines,1
388,American Airlines reaches deal with Boeing over 737 Max grounding compensation,American Airlines,1
390,American Airlines plans to share Boeing 737 Max compensation with employees,American Airlines,1
391,"Are flights to China canceled due to the coronavirus? See the latest updates for United, Delta and American Airlines ",American Airlines,1
392,"United Airlines canceled two dozen US flights to and from China, the carrier announced Tuesday, as American health authorities stepped up efforts to battle the spreading coronavirus. ",American Airlines,1
393,Some global airlines suspend travel over coronavirus fears as American evacuees return from China ,American Airlines,0
395,Woman sues American Airlines alleging employee stalked her with sexually suggestive text messages during flight. ,American Airlines,1
397,"Starbucks, American Airlines and Google are some of the companies to have scaled back operations in China as the government tries to control the spread of coronavirus #WSJWhatsNow",American Airlines,1
398,"American bumped more than 15,000 passengers in a year. Delta bumped nine. Guess who finished last in the WSJ Airline Scorecard for the third time in five years.",American Airlines,1
402,American finished last in the WSJ Airline Scorecard for the third time in five years ,American Airlines,1
408,American Airlines joins others in suspending some China flights as demand sags ,American Airlines,1
409,American Airlines beats quarterly profit estimates on strong travel demand ,American Airlines,1
414,"The Allied Pilots Association, a union representing 15,000 American Airlines pilots, has sued the company to halt the carrier's U.S.-China service, citing ""serious, and in many ways still unknown, health threats posed by the coronavirus""",American Airlines,1
416,"US airlines are giving customers more time to change their flights to China without incurring fees as the deadly coronavirus continues to spread, and as American authorities raise travel precautions for the country. ",American Airlines,1
418,"""Misunderstandings"" Resolved, Akali Dal To Support BJP In Delhi Polls ",DAL,0
420,"Rising food inflation makes rural India turn to rotis, watery dal ",DAL,0
421,"#RepublicDay | CPWD horticulture tableau's theme is 'Kashmir se Kanyakumari'-shows memorial of Swami Vivekananda Kanyakumari, a 'Shikara' on the Dal lake and the Sanchi Stupa, Madhya Pradesh. (ANI) #RepublicDayIndia #RepublicDay2020 #RepublicDayParade2020",DAL,0
422,"Rashtriya Janata Dal to contest Delhi polls in alliance with Congress, candidate list today. ",DAL,0
423,"Clashes between Bajrang Dal, Durga Vahini workers and security forces near Pakistan Embassy in #Delhi during protest against mob attack on #NankanaSahib Gurdwara on January 3. Police detained protesters: news agency ANI. More on",DAL,0
424,Row over booklet circulated by Congress Seva Dal in Madhya Pradesh. ,DAL,0
425,Teachers sue after Delta Air Lines plane dumps fuel on schools ,Delta Air Lines,1
427,A Delta Air Lines plane slid off an icy runway Friday morning with its front wheel impacting the grass. The aircraft was taxiing to be de-iced in preparation for departure when the incident occurred ,Delta Air Lines,1
430,Teachers doused in jet fuel at California school sue Delta Air Lines ,Delta Air Lines,1
433,Delta Air Lines sued by California teachers over fuel dump ,Delta Air Lines,1
434,Delta Air Lines plans to replace the uniforms that hundreds of its employees complain are causing health problems ,Delta Air Lines,1
435,"Delta Air Lines is temporarily reducing its number of weekly flights between the US and China “due to significantly reduced customer demand prompted by global health concerns related to coronavirus,” the airline said in a statement ",Delta Air Lines,1
437,"The US Department of Transportation ordered Delta Air Lines to pay a $50,000 fine to settle allegations it violated federal law by discriminating against Muslim passengers",Delta Air Lines,1
438,Frustrated community members questioned government officials and Delta Air Lines representatives during a meeting to talk about a fuel dump from a plane making an emergency landing near Los Angeles this week. ,Delta Air Lines,1
439,"Four teachers from a California elementary school that was doused by fuel dumped from a Delta Air Lines plane making an emergency landing are suing the airline, alleging negligence, attorney Gloria Allred said ",Delta Air Lines,1
440,"A day after a Delta Air Lines plane dumped jet fuel over several Los Angeles schools, federal authorities said the pilots of Delta Flight 89 did not ask for approval to release the fuel as part of their emergency landing",Delta Air Lines,1
443,"Federal officials are investigating after a Delta Air Lines plane dumped jet fuel on schools, dousing dozens of people, mostly children. ",Delta Air Lines,1
444,"More than 500 Delta Air Lines employees are suing Lands' End, alleging that the uniforms it provided to the airline are causing some workers to have health issues",Delta Air Lines,1
445,"GoPro's share price has had a ride as turbulent as some of the heart-stopping stunt videos the camera is responsible for. The stock skyrocketed following its IPO in 2014, but started stumbling just the next year, and hasn't recovered since.",GoPro,1
446,"If you've ever watched a video of someone skiing, skydiving, or surfing, chances are you've watched footage shot on a GoPro. ",GoPro,0
447,The most bizarre festival? North Macedonians hold the traditional #Vevcani Carnival to welcome in the New Year according to the Julian calendar ,Carnival,0
452,Revellers fill Rio streets in unofficial street carnival ,Carnival,0
453,Revellers celebrate unofficial start of the carnival season in Rio de Janeiro ,Carnival,0
454,"Are Cruise Ships Cancelled Due to Coronavirus? See the latest updates for Royal Caribbean, Carnival and Crystal Cruises ",Carnival,0
456,"LIVE: Discovering the centuries-old ice-fishing carnival on Chagan Lake, northeastern China's Jilin Province ",Carnival,0
457,"Carnival Cruise Line unveils new dress code with a ban on ""offensive clothing"" ",Carnival,1
459,Former NBA star Shaquille O’Neal talks about his various franchise partnerships and how he earned the title of Chief Fun Officer for Carnival Cruise Line #WSJWhatsNow,Carnival,1
460,"Trinidad, a slice of India in the Caribbean, hosts one of the most rollicking Carnival festivals in the Western Hemisphere ",Carnival,0
463,Think your profanity-laced T-shirt would be fun to wear on your next cruise? Carnival Cruise Line says no. ,Carnival,1
464,Apple stock rallies on earnings beat—here's what five experts are watching now $AAPL (via @TradingNation),AAPL,1
465,"As Apple preps earnings, 'parabolic' stock chart suggests drop ahead $AAPL (via @TradingNation)",AAPL,1
469,One stealth technical indicator could be key to next move in Apple rally $AAPL (via @TradingNation),AAPL,1
470,MORE: Soaring demand for add-ons like AirPods wireless headphones helped power Apple's higher-than-expected sales and profits for the holiday shopping quarter ,AAPL,1
471,"Apple iPhone sales return to growth, pushing profits above expectations; shares up more than 2% in extended trade $AAPL Follow @ReutersBiz for more breaking business news",AAPL,1
472,"'The coronavirus outbreak is already hitting sales and forcing Apple to shut stores, reduce opening hours and restrict staff travel to and within China' ",Apple,1
473,"Apple is about to release a host of new products like none it has made before, report claims ",Apple,1
474,Apple rolls out entirely new maps across the US ,Apple,1
476,"Coronavirus could cause problems for iPhone users, Apple warns ",Apple,1
477,Apple delivers record sales and rising profits as iPhone makes a comeback ,Apple,1
479,Apple reveals design for Mac made entirely out of glass ,Apple,1
480,Apple 'finger devices' could let you control virtual objects ,Apple,1
481,Apple makes major statement on the future of iPhone chargers ,Apple,1
482,"Apple dropped plans to secure iPhone backups after the FBI told it to, report claims ",Apple,1
484,It’s Donald Trump vs Apple in the fight over your data ,Apple,1
486,Ricky Gervais compares Apple to Isis in front of Tim Cook ,Apple,1
488,Apple stores full to bursting as other high street chains close ,Apple,1
489,#Apple faces a thorny dilemma Op-Ed by Helen Buyniski @velocirapture23,Apple,1
490,Backdoored backup? Apple nixed iCloud encryption after FBI complained your data is a valuable resource ,Apple,1
495,"Apple confirms that it scans users’ images on its iCloud service to look for evidence of illegal content, including child sexual exploitation material But Apple has revealed little about how the scans work prompting concerns over data privacy. Do you find this practice intrusive? ",Apple,1
497,Apple's new and improved maps that cost 'billions' are now out across the U.S. ,Apple,1
498,"Apple has become the biggest smartphone player for the first time in 2 years, overtaking Samsung for the title.",Apple,1
499,"Apple becomes biggest smartphone player for the first time in two years, beating Samsung ",Apple,1
500,"Apple reported Q4 earnings and revenue that easily beat Wall Street’s estimates yesterday. “This is a jaw-dropper in terms of results,” one expert said.",Apple,1
501,"Can you imagine Apple without the apple? McDonald’s with no golden arches? Or Nike without the swoosh? Trademarks and patents can make or break a company, and IP has become a battleground between the U.S. and China. Watch the full video here: ",Apple,0
502,Analyst Toni Sacconaghi defends being cautious on Apple even as shares keep shattering new highs ,Apple,1
505,"Coronavirus could hurt iPhone sales in China and Apple's supply chain, says top analyst ",Apple,1
507,Cramer says it's 'stupid and dumb as wood' to think Apple and CEO Tim Cook aren't innovating ,Apple,1
508,Apple's incredible wearables: AirPods and Watch turn into the next huge hit after the iPhone ,Apple,1
509,Bank of America has a list of reasons why Apple can continue to rally ,Apple,1
511,"What's moving the market right now: Dow futures up 140, Apple record, coronavirus names bounce",Apple,1
513,"What to watch today: Dow to rise, big Apple earnings and possible impeachment witnesses ",Apple,1
514,"In 2007, Apple CEO Steve Jobs sat down with CNBC to discuss the unveiling of the company's newest product, the iPhone. The rest is history.",Apple,1
516,"Apple's fastest-growing segment, which includes AirPods and Watch, is now bigger than the Mac ",Apple,1
517,Asia stocks set to trade higher as investors watch Apple suppliers amid strong iPhone sales ,Apple,1
519,AlphaOne's Dan Niles says he's 'glad he got out' of Apple despite earnings beat ,Apple,1
520,"Tim Cook says Apple has shut one store in China, restricts employee travel because of coronavirus ",Apple,1
522,"Apple now has $207.06 billion in cash on hand, up slightly from last quarter",Apple,1
523,"Apple generated $56 billion in iPhone revenue last quarter, smashing expectations",Apple,1
524,Apple is up more than 2% as earnings and iPhone sales smash expectations.,Apple,1
525,Apple reported revenue and profit significantly higher than what Wall Street analysts expected. Revenue was up 9% to $91.8B vs $88.50 billion estimated.,Apple,1
526,"Today was the best day for stocks since October. The Dow jumped 1%, led by Apple and Goldman Sachs.",Apple,1
527,Apple is set to report earnings after the bell ,Apple,1
531,"Apple's earnings report could lead to big gains, options trader bets ",Apple,1
532,China and Apple's TV service will be under the spotlight when it reports earnings ,Apple,1
533,"Apple reports, busy day of earnings, consumer confidence: 3 things to watch for Tuesday",Apple,1
534,"Apple is exposed to China's consumer market, currently getting hit by coronavirus fears ",Apple,1
536,"What's moving the market right now: Dow futures drop 400, coronavirus hits Wynn, Nike & Apple",Apple,1
537,"Antitrust laws have been out of the spotlight for decades, but now they're affecting Amazon, Apple, Google, and Facebook. Watch the full video here: ",Apple,1
538,Apple has itself in position to be the next HBO. ,Apple,1
539,"Billionaire Warren Buffett, a major Apple investor, uses a $20 flip phone.",Apple,1
543,"Here are the biggest analyst calls of the day: Alphabet, Apple, PayPal, Intel &amp; more ",Apple,1
544,"Sell Apple because 5G expectations are 'too high' and stock will drop, Rosenblatt says",Apple,1
545,"These old Apple computers have sold for up to $905,000—and you might have one sitting in your basement. (via @CNBCMakeIt)",Apple,1
546,Broadcom strikes $15 billion deal with Apple to sell it iPhone parts,Apple,1
548,Apple's new 'connected gyms' program gives you benefits for working out with Apple Watch ,Apple,1
549,President Trump says that Apple has “the keys to so many criminals and criminal minds.” Here’s why he’s calling on the tech giant to “help us” more in criminal cases. #Davos2020,Apple,1
551,Trump demands Apple unlock iPhones: 'They have the keys to so many criminals and criminal minds' ,Apple,1
